,datetime,day_of_week,month,is_holiday,staleness,rm_id,rolling_7_avg,rolling_30_avg,rolling_100_avg,rolling_200_avg,rolling_500_avg,rolling_7_freq,rolling_30_freq,rolling_100_freq,shifted_30_rolling_7_avg,shifted_100_rolling_7_avg,shifted_100_rolling_30_avg,shifted_30_rolling_7_freq,shifted_100_rolling_7_freq,shifted_100_rolling_30_freq
0,2024-12-20,4,12,0,0,2130,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,65602.85714285714,82021.14285714286,30883.6,0.7142857142857143,0.7142857142857143,0.4
1,2024-12-21,5,12,0,1,2130,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,63267.42857142857,100174.85714285714,36190.166666666664,0.7142857142857143,0.7142857142857143,0.43333333333333335
2,2024-12-22,6,12,0,2,2130,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,60720.71428571428,98337.14285714286,41251.86666666667,0.7142857142857143,0.7142857142857143,0.4666666666666667
3,2024-12-23,0,12,0,3,2130,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,60720.71428571428,98337.14285714286,41251.86666666667,0.7142857142857143,0.7142857142857143,0.4666666666666667
4,2024-12-24,1,12,0,4,2130,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,60720.71428571428,98337.14285714286,41251.86666666667,0.7142857142857143,0.7142857142857143,0.4666666666666667
5,2024-12-25,2,12,1,5,2130,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,58866.857142857145,88427.0,41251.86666666667,0.7142857142857143,0.5714285714285714,0.4666666666666667
6,2024-12-26,3,12,1,6,2130,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,56398.42857142857,74614.0,41251.86666666667,0.7142857142857143,0.42857142857142855,0.4666666666666667
7,2024-12-27,4,12,0,7,2130,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,62871.142857142855,74668.0,48306.13333333333,0.7142857142857143,0.42857142857142855,0.5
8,2024-12-28,5,12,0,8,2130,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,72290.42857142857,78803.42857142857,54577.63333333333,0.7142857142857143,0.42857142857142855,0.5333333333333333
9,2024-12-29,6,12,0,9,2130,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,64587.0,80127.57142857143,59948.3,0.7142857142857143,0.42857142857142855,0.5666666666666667
10,2024-12-30,0,12,0,10,2130,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,64587.0,80127.57142857143,59948.3,0.7142857142857143,0.42857142857142855,0.5666666666666667
11,2024-12-31,1,12,0,11,2130,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,64587.0,80127.57142857143,59948.3,0.7142857142857143,0.42857142857142855,0.5666666666666667
12,2025-01-01,2,1,0,12,2130,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,61649.57142857143,91853.14285714286,62684.26666666667,0.7142857142857143,0.5714285714285714,0.6
13,2025-01-02,3,1,0,13,2130,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,69232.42857142857,117727.85714285714,68721.7,0.7142857142857143,0.7142857142857143,0.6333333333333333
14,2025-01-03,4,1,0,14,2130,79318.0,69589.26666666666,71219.02,57405.125,37667.392,0.7142857142857143,0.7,0.66,66502.85714285714,106493.42857142857,72841.93333333333,0.7142857142857143,0.7142857142857143,0.6333333333333333
